client_id,client_name,line_of_business,request_month,authorization_volume,auto_decisions,avg_decision_hours,sla_met_rate,avoidable_manual_reviews,admin_cost,requested_cost,auto_decision_rate,avoidable_manual_review_rate,claim_month,claim_volume,denied_claims,denied_amount,allowed_amount,paid_amount,denial_rate,estimated_auto_decision_admin_savings,client_value_opportunity
CHP_FL,Atlantic Care Advantage,Commercial,2026-04,694,320,14.805619596541787,0.7997118155619597,166,10683.0,769054.22,0.4610951008645533,0.23919308357348704,2026-04,1089,195,203288.06,1119563.11,715586.0,0.1790633608815427,6320.0,10393.58
CHP_FL,Atlantic Care Advantage,Commercial,2026-05,708,317,16.062994350282487,0.7570621468926554,159,11085.25,748633.58,0.4477401129943503,0.2245762711864407,2026-05,1068,235,215378.6,1019267.94,621578.34,0.2200374531835206,6260.75,10678.5
CHP_FL,Atlantic Care Advantage,Commercial,2026-06,675,310,16.42103703703704,0.7570370370370371,173,10415.0,734703.98,0.45925925925925926,0.2562962962962963,2026-06,1087,221,213881.27,1067777.6,665274.66,0.20331186752529898,6122.5,10902.59
CHP_FL,Atlantic Care Advantage,Commercial,2026-07,699,336,14.733047210300429,0.7939914163090128,144,10489.5,759657.51,0.48068669527896996,0.20600858369098712,2026-07,992,192,179460.83,971065.87,602023.27,0.1935483870967742,6636.0,9125.13
CHP_GA,Peach State Health,Medicaid,2026-01,606,262,16.998349834983497,0.863036303630363,152,9672.5,670447.63,0.43234323432343236,0.2508250825082508,2026-01,900,168,163521.51,876345.43,556707.75,0.18666666666666668,5174.5,8725.25
CHP_GA,Peach State Health,Medicaid,2026-02,620,286,15.407903225806452,0.8935483870967742,150,9541.5,673095.94,0.4612903225806452,0.24193548387096775,2026-02,932,188,204714.39,921964.4,561272.36,0.2017167381974249,5648.5,10127.5
CHP_GA,Peach State Health,Medicaid,2026-03,564,255,14.582978723404254,0.9113475177304965,131,8781.75,602654.8,0.4521276595744681,0.2322695035460993,2026-03,915,186,171601.09,862081.88,526953.33,0.20327868852459016,5036.25,8593.29
CHP_GA,Peach State Health,Medicaid,2026-04,645,287,15.336124031007751,0.9007751937984496,153,10134.25,666160.06,0.4449612403100775,0.2372093023255814,2026-04,1004,211,196378.02,949998.69,571223.49,0.2101593625498008,5668.25,9894.98
CHP_GA,Peach State Health,Medicaid,2026-05,645,306,14.330387596899225,0.9193798449612403,149,9759.0,694858.45,0.4744186046511628,0.2310077519379845,2026-05,989,187,193911.18,972025.84,591623.23,0.1890798786653185,6043.5,9729.64
CHP_GA,Peach State Health,Medicaid,2026-06,661,302,16.136913767019667,0.8714069591527988,154,10230.0,721112.44,0.4568835098335855,0.2329803328290469,2026-06,1006,216,214297.09,988366.43,588846.86,0.2147117296222664,5964.5,10541.9
CHP_GA,Peach State Health,Medicaid,2026-07,608,273,15.221710526315789,0.899671052631579,140,9504.25,665079.88,0.44901315789473684,0.23026315789473684,2026-07,982,177,176701.91,972332.24,602060.65,0.18024439918533605,5391.75,8949.57
CHP_TX,Central Health Plan Texas,Medicare Advantage,2026-01,827,389,14.636154776299879,0.7908101571946796,200,12578.75,896957.74,0.4703748488512696,0.2418379685610641,2026-01,1314,268,256501.09,1280310.03,790350.21,0.2039573820395738,7682.75,12927.54
CHP_TX,Central Health Plan Texas,Medicare Advantage,2026-02,840,418,14.842857142857143,0.7869047619047619,198,12324.5,913814.55,0.4976190476190476,0.2357142857142857,2026-02,1277,222,211562.69,1243076.86,796666.34,0.17384494909945183,8255.5,11315.19
CHP_TX,Central Health Plan Texas,Medicare Advantage,2026-03,816,379,14.590073529411764,0.7953431372549019,177,12506.75,885184.72,0.4644607843137255,0.21691176470588236,2026-03,1239,268,267247.17,1227798.78,736825.36,0.21630347054075869,7485.25,12849.4
CHP_TX,Central Health Plan Texas,Medicare Advantage,2026-04,869,380,16.073072497123132,0.7686996547756041,223,13785.5,946934.28,0.4372842347525892,0.2566168009205984,2026-04,1289,259,251219.6,1235600.67,762497.38,0.2009309542280838,7505.0,13196.94
CHP_TX,Central Health Plan Texas,Medicare Advantage,2026-05,793,348,15.659899117276165,0.7578814627994955,183,12555.5,856729.53,0.43883984867591425,0.23076923076923078,2026-05,1217,238,235005.85,1165924.2,716996.55,0.19556285949055052,6873.0,11839.45
CHP_TX,Central Health Plan Texas,Medicare Advantage,2026-06,870,397,15.341264367816091,0.7804597701149425,203,13474.25,962490.16,0.45632183908045976,0.23333333333333334,2026-06,1356,261,265950.47,1337822.05,837887.23,0.19247787610619468,7840.75,13317.52
CHP_TX,Central Health Plan Texas,Medicare Advantage,2026-07,863,387,15.526767091541137,0.7717265353418308,181,13500.25,934723.6,0.4484356894553882,0.20973348783314022,2026-07,1349,266,247002.61,1315852.94,809602.42,0.19718309859154928,7643.25,12219.84
